app_id,category_short,category_long
it.delonghi,Food & Drink,/store/apps/category/FOOD_AND_DRINK
in.emego.www.emego,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.loyaltyplant.partner.sevenleavescafe,Food & Drink,/store/apps/category/FOOD_AND_DRINK
ru.sbcs.prodom,House & Home,/store/apps/category/HOUSE_AND_HOME
jamhome.ru.lktsj,House & Home,/store/apps/category/HOUSE_AND_HOME
com.inpin,House & Home,/store/apps/category/HOUSE_AND_HOME
ru.pik.mobile,House & Home,/store/apps/category/HOUSE_AND_HOME
hk.com.squarefoot.app,House & Home,/store/apps/category/HOUSE_AND_HOME
com.kilid.portal,House & Home,/store/apps/category/HOUSE_AND_HOME
ru.mlsn.realty,House & Home,/store/apps/category/HOUSE_AND_HOME
com.kadilo.inc.flatty,House & Home,/store/apps/category/HOUSE_AND_HOME
com.buildium.resident.android,House & Home,/store/apps/category/HOUSE_AND_HOME
br.com.quintoandar.inquilinos,House & Home,/store/apps/category/HOUSE_AND_HOME
apiqa.ru.residentcabinetandroid,House & Home,/store/apps/category/HOUSE_AND_HOME
se.bostadsdeal.app,House & Home,/store/apps/category/HOUSE_AND_HOME
kr.co.station3.dabang.pro,House & Home,/store/apps/category/HOUSE_AND_HOME
com.airthings.airthings,House & Home,/store/apps/category/HOUSE_AND_HOME
com.nestoria.property,House & Home,/store/apps/category/HOUSE_AND_HOME
syncteq.propertycalculatormalaysia,House & Home,/store/apps/category/HOUSE_AND_HOME
com.bayut.bayutapp,House & Home,/store/apps/category/HOUSE_AND_HOME
com.opendoor.buyerapp,House & Home,/store/apps/category/HOUSE_AND_HOME
ch.homegate.mobile,House & Home,/store/apps/category/HOUSE_AND_HOME
muggle.android.gobang,House & Home,/store/apps/category/HOUSE_AND_HOME
ae.propertyfinder.propertyfinder,House & Home,/store/apps/category/HOUSE_AND_HOME
cz.bezrealitky,House & Home,/store/apps/category/HOUSE_AND_HOME
com.speedrent,House & Home,/store/apps/category/HOUSE_AND_HOME
dk.boligsiden,House & Home,/store/apps/category/HOUSE_AND_HOME
my.ecommunity.apps,House & Home,/store/apps/category/HOUSE_AND_HOME
com.thinkermobile.sinyi,House & Home,/store/apps/category/HOUSE_AND_HOME
co.ninetynine.android,House & Home,/store/apps/category/HOUSE_AND_HOME
au.com.allhomes,House & Home,/store/apps/category/HOUSE_AND_HOME
com.nifty.myhome.buy,House & Home,/store/apps/category/HOUSE_AND_HOME
com.zoonckan.android,House & Home,/store/apps/category/HOUSE_AND_HOME
com.reiwa.app,House & Home,/store/apps/category/HOUSE_AND_HOME
com.compass.compass,House & Home,/store/apps/category/HOUSE_AND_HOME
com.allproperty.android.consumer.my,House & Home,/store/apps/category/HOUSE_AND_HOME
com.spotahome.tnnt,House & Home,/store/apps/category/HOUSE_AND_HOME
com.ziptoss.v2,House & Home,/store/apps/category/HOUSE_AND_HOME
com.engelvoelkers.propertysearch,House & Home,/store/apps/category/HOUSE_AND_HOME
com.shopgate.android.app20123,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.coffee.love_coffee,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.notissimus.ammir.android,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.baronbrew.tilthydrometerf7,Food & Drink,/store/apps/category/FOOD_AND_DRINK
in.hipbar.hipbar_pay_app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.paymentez.jv_amigos,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.morepiva,Food & Drink,/store/apps/category/FOOD_AND_DRINK
io.appery.project320490,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.cofedistrict,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.spoonity.cafemartinez2,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.wunderbar_app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.mozaic.www.alameedcoffee,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.cavagrill.cavagrill.android.app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.cfdrink,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.cellartracker.app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.brewdog.hopdrop,Food & Drink,/store/apps/category/FOOD_AND_DRINK
